Mês de Data Referencia;Evento;Uf;Total
janeiro de 2017;Roubo de veículo;AC;
fevereiro de 2017;Roubo de veículo;AC;
março de 2017;Roubo de veículo;AC;
abril de 2017;Roubo de veículo;AC;
maio de 2017;Roubo de veículo;AC;
junho de 2017;Roubo de veículo;AC;
julho de 2017;Roubo de veículo;AC;
agosto de 2017;Roubo de veículo;AC;
setembro de 2017;Roubo de veículo;AC;
outubro de 2017;Roubo de veículo;AC;
novembro de 2017;Roubo de veículo;AC;
dezembro de 2017;Roubo de veículo;AC;
janeiro de 2017;Roubo de veículo;AL;301
fevereiro de 2017;Roubo de veículo;AL;329
março de 2017;Roubo de veículo;AL;287
abril de 2017;Roubo de veículo;AL;213
maio de 2017;Roubo de veículo;AL;236
junho de 2017;Roubo de veículo;AL;201
julho de 2017;Roubo de veículo;AL;240
agosto de 2017;Roubo de veículo;AL;230
setembro de 2017;Roubo de veículo;AL;251
outubro de 2017;Roubo de veículo;AL;286
novembro de 2017;Roubo de veículo;AL;274
dezembro de 2017;Roubo de veículo;AL;286
janeiro de 2017;Roubo de veículo;AM;307
fevereiro de 2017;Roubo de veículo;AM;350
março de 2017;Roubo de veículo;AM;511
abril de 2017;Roubo de veículo;AM;416
maio de 2017;Roubo de veículo;AM;622
junho de 2017;Roubo de veículo;AM;334
julho de 2017;Roubo de veículo;AM;469
agosto de 2017;Roubo de veículo;AM;349
setembro de 2017;Roubo de veículo;AM;315
outubro de 2017;Roubo de veículo;AM;293
novembro de 2017;Roubo de veículo;AM;249
dezembro de 2017;Roubo de veículo;AM;250
janeiro de 2017;Roubo de veículo;AP;23
fevereiro de 2017;Roubo de veículo;AP;11
março de 2017;Roubo de veículo;AP;14
abril de 2017;Roubo de veículo;AP;24
maio de 2017;Roubo de veículo;AP;30
junho de 2017;Roubo de veículo;AP;28
julho de 2017;Roubo de veículo;AP;20
agosto de 2017;Roubo de veículo;AP;21
setembro de 2017;Roubo de veículo;AP;34
outubro de 2017;Roubo de veículo;AP;24
novembro de 2017;Roubo de veículo;AP;19
dezembro de 2017;Roubo de veículo;AP;19
janeiro de 2017;Roubo de veículo;BA;1211
fevereiro de 2017;Roubo de veículo;BA;1132
março de 2017;Roubo de veículo;BA;1276
abril de 2017;Roubo de veículo;BA;1071
maio de 2017;Roubo de veículo;BA;1227
junho de 2017;Roubo de veículo;BA;1030
julho de 2017;Roubo de veículo;BA;1150
agosto de 2017;Roubo de veículo;BA;1101
setembro de 2017;Roubo de veículo;BA;1161
outubro de 2017;Roubo de veículo;BA;1130
novembro de 2017;Roubo de veículo;BA;1053
dezembro de 2017;Roubo de veículo;BA;984
janeiro de 2017;Roubo de veículo;CE;824
fevereiro de 2017;Roubo de veículo;CE;724
março de 2017;Roubo de veículo;CE;886
abril de 2017;Roubo de veículo;CE;841
maio de 2017;Roubo de veículo;CE;1149
junho de 2017;Roubo de veículo;CE;1090
julho de 2017;Roubo de veículo;CE;950
agosto de 2017;Roubo de veículo;CE;970
setembro de 2017;Roubo de veículo;CE;956
outubro de 2017;Roubo de veículo;CE;933
novembro de 2017;Roubo de veículo;CE;924
dezembro de 2017;Roubo de veículo;CE;886
janeiro de 2017;Roubo de veículo;DF;443
fevereiro de 2017;Roubo de veículo;DF;457
março de 2017;Roubo de veículo;DF;501
abril de 2017;Roubo de veículo;DF;399
maio de 2017;Roubo de veículo;DF;430
junho de 2017;Roubo de veículo;DF;346
julho de 2017;Roubo de veículo;DF;369
agosto de 2017;Roubo de veículo;DF;374
setembro de 2017;Roubo de veículo;DF;320
outubro de 2017;Roubo de veículo;DF;396
novembro de 2017;Roubo de veículo;DF;430
dezembro de 2017;Roubo de veículo;DF;390
janeiro de 2017;Roubo de veículo;ES;
fevereiro de 2017;Roubo de veículo;ES;
março de 2017;Roubo de veículo;ES;
abril de 2017;Roubo de veículo;ES;
maio de 2017;Roubo de veículo;ES;
junho de 2017;Roubo de veículo;ES;
julho de 2017;Roubo de veículo;ES;
agosto de 2017;Roubo de veículo;ES;
setembro de 2017;Roubo de veículo;ES;
outubro de 2017;Roubo de veículo;ES;
novembro de 2017;Roubo de veículo;ES;
dezembro de 2017;Roubo de veículo;ES;
janeiro de 2017;Roubo de veículo;GO;1353
fevereiro de 2017;Roubo de veículo;GO;1197
março de 2017;Roubo de veículo;GO;1430
abril de 2017;Roubo de veículo;GO;1319
maio de 2017;Roubo de veículo;GO;1367
junho de 2017;Roubo de veículo;GO;1312
julho de 2017;Roubo de veículo;GO;1279
agosto de 2017;Roubo de veículo;GO;1149
setembro de 2017;Roubo de veículo;GO;1054
outubro de 2017;Roubo de veículo;GO;1114
novembro de 2017;Roubo de veículo;GO;1122
dezembro de 2017;Roubo de veículo;GO;984
janeiro de 2017;Roubo de veículo;MA;424
fevereiro de 2017;Roubo de veículo;MA;351
março de 2017;Roubo de veículo;MA;449
abril de 2017;Roubo de veículo;MA;424
maio de 2017;Roubo de veículo;MA;470
junho de 2017;Roubo de veículo;MA;368
julho de 2017;Roubo de veículo;MA;331
agosto de 2017;Roubo de veículo;MA;304
setembro de 2017;Roubo de veículo;MA;353
outubro de 2017;Roubo de veículo;MA;369
novembro de 2017;Roubo de veículo;MA;353
dezembro de 2017;Roubo de veículo;MA;283
janeiro de 2017;Roubo de veículo;MG;2350
fevereiro de 2017;Roubo de veículo;MG;1861
março de 2017;Roubo de veículo;MG;1998
abril de 2017;Roubo de veículo;MG;1813
maio de 2017;Roubo de veículo;MG;1845
junho de 2017;Roubo de veículo;MG;1575
julho de 2017;Roubo de veículo;MG;1645
agosto de 2017;Roubo de veículo;MG;1746
setembro de 2017;Roubo de veículo;MG;1623
outubro de 2017;Roubo de veículo;MG;1655
novembro de 2017;Roubo de veículo;MG;1711
dezembro de 2017;Roubo de veículo;MG;1714
janeiro de 2017;Roubo de veículo;MS;91
fevereiro de 2017;Roubo de veículo;MS;77
março de 2017;Roubo de veículo;MS;78
abril de 2017;Roubo de veículo;MS;79
maio de 2017;Roubo de veículo;MS;88
junho de 2017;Roubo de veículo;MS;86
julho de 2017;Roubo de veículo;MS;66
agosto de 2017;Roubo de veículo;MS;71
setembro de 2017;Roubo de veículo;MS;55
outubro de 2017;Roubo de veículo;MS;77
novembro de 2017;Roubo de veículo;MS;61
dezembro de 2017;Roubo de veículo;MS;66
janeiro de 2017;Roubo de veículo;MT;230
fevereiro de 2017;Roubo de veículo;MT;186
março de 2017;Roubo de veículo;MT;211
abril de 2017;Roubo de veículo;MT;229
maio de 2017;Roubo de veículo;MT;257
junho de 2017;Roubo de veículo;MT;210
julho de 2017;Roubo de veículo;MT;192
agosto de 2017;Roubo de veículo;MT;192
setembro de 2017;Roubo de veículo;MT;231
outubro de 2017;Roubo de veículo;MT;227
novembro de 2017;Roubo de veículo;MT;222
dezembro de 2017;Roubo de veículo;MT;198
janeiro de 2017;Roubo de veículo;PA;640
fevereiro de 2017;Roubo de veículo;PA;597
março de 2017;Roubo de veículo;PA;687
abril de 2017;Roubo de veículo;PA;680
maio de 2017;Roubo de veículo;PA;754
junho de 2017;Roubo de veículo;PA;590
julho de 2017;Roubo de veículo;PA;670
agosto de 2017;Roubo de veículo;PA;748
setembro de 2017;Roubo de veículo;PA;780
outubro de 2017;Roubo de veículo;PA;810
novembro de 2017;Roubo de veículo;PA;860
dezembro de 2017;Roubo de veículo;PA;802
janeiro de 2017;Roubo de veículo;PB;254
fevereiro de 2017;Roubo de veículo;PB;194
março de 2017;Roubo de veículo;PB;252
abril de 2017;Roubo de veículo;PB;286
maio de 2017;Roubo de veículo;PB;298
janeiro de 2019;Roubo de veículo;AC;114
janeiro de 2019;Roubo de veículo;AL;202
janeiro de 2019;Roubo de veículo;AM;218
janeiro de 2019;Roubo de veículo;AP;54
janeiro de 2019;Roubo de veículo;BA;1113
janeiro de 2019;Roubo de veículo;CE;407
janeiro de 2019;Roubo de veículo;DF;275
janeiro de 2019;Roubo de veículo;ES;366
janeiro de 2019;Roubo de veículo;GO;477
janeiro de 2019;Roubo de veículo;MA;314
janeiro de 2019;Roubo de veículo;MG;1073
janeiro de 2019;Roubo de veículo;MS;61
janeiro de 2019;Roubo de veículo;MT;225
janeiro de 2019;Roubo de veículo;PA;333
janeiro de 2019;Roubo de veículo;PB;296
janeiro de 2019;Roubo de veículo;PE;1042
janeiro de 2019;Roubo de veículo;PI;307
janeiro de 2019;Roubo de veículo;PR;532
janeiro de 2019;Roubo de veículo;RJ;3785
janeiro de 2019;Roubo de veículo;RN;342
janeiro de 2019;Roubo de veículo;RO;
janeiro de 2019;Roubo de veículo;RR;41
janeiro de 2019;Roubo de veículo;RS;1203
janeiro de 2019;Roubo de veículo;SC;133
janeiro de 2019;Roubo de veículo;SE;205
janeiro de 2019;Roubo de veículo;SP;3948
janeiro de 2019;Roubo de veículo;TO;50
fevereiro de 2019;Roubo de veículo;AC;143
fevereiro de 2019;Roubo de veículo;AL;182
fevereiro de 2019;Roubo de veículo;AM;154
fevereiro de 2019;Roubo de veículo;AP;37
fevereiro de 2019;Roubo de veículo;BA;992
fevereiro de 2019;Roubo de veículo;CE;405
fevereiro de 2019;Roubo de veículo;DF;246
fevereiro de 2019;Roubo de veículo;ES;328
fevereiro de 2019;Roubo de veículo;GO;417
fevereiro de 2019;Roubo de veículo;MA;258
fevereiro de 2019;Roubo de veículo;MG;954
fevereiro de 2019;Roubo de veículo;MS;39
fevereiro de 2019;Roubo de veículo;MT;222
fevereiro de 2019;Roubo de veículo;PA;303
fevereiro de 2019;Roubo de veículo;PB;264
fevereiro de 2019;Roubo de veículo;PE;991
fevereiro de 2019;Roubo de veículo;PI;291
fevereiro de 2019;Roubo de veículo;PR;495
fevereiro de 2019;Roubo de veículo;RJ;3554
fevereiro de 2019;Roubo de veículo;RN;293
fevereiro de 2019;Roubo de veículo;RO;
fevereiro de 2019;Roubo de veículo;RR;20
fevereiro de 2019;Roubo de veículo;RS;1104
fevereiro de 2019;Roubo de veículo;SC;129
fevereiro de 2019;Roubo de veículo;SE;135
fevereiro de 2019;Roubo de veículo;SP;3562
fevereiro de 2019;Roubo de veículo;TO;33
março de 2019;Roubo de veículo;AC;137
março de 2019;Roubo de veículo;AL;245
março de 2019;Roubo de veículo;AM;199
março de 2019;Roubo de veículo;AP;34
março de 2019;Roubo de veículo;BA;1032
março de 2019;Roubo de veículo;CE;472
março de 2019;Roubo de veículo;DF;282
março de 2019;Roubo de veículo;ES;366
março de 2019;Roubo de veículo;GO;420
março de 2019;Roubo de veículo;MA;318
março de 2019;Roubo de veículo;MG;881
março de 2019;Roubo de veículo;MS;55
março de 2019;Roubo de veículo;MT;187
março de 2019;Roubo de veículo;PA;348
março de 2019;Roubo de veículo;PB;286
março de 2019;Roubo de veículo;PE;1051
março de 2019;Roubo de veículo;PI;338
março de 2019;Roubo de veículo;PR;465
março de 2019;Roubo de veículo;RJ;3775
março de 2019;Roubo de veículo;RN;307
março de 2019;Roubo de veículo;RO;
março de 2019;Roubo de veículo;RR;40
março de 2019;Roubo de veículo;RS;957
março de 2019;Roubo de veículo;SC;137
março de 2019;Roubo de veículo;SE;152
março de 2019;Roubo de veículo;SP;4045
março de 2019;Roubo de veículo;TO;51
abril de 2019;Roubo de veículo;AC;174
abril de 2019;Roubo de veículo;AL;288
