ano_arquivo,data_referencia,uf,evento,total_vitima,total,feminino,masculino,nao_informado
2017,2017-01-01,AC,Apreensão de Cocaína,0.0,0.0,0.0,0.0,0.0
2017,2017-01-01,AC,Apreensão de Maconha,0.0,0.0,0.0,0.0,0.0
2017,2017-01-01,AC,Arma de Fogo Apreendida,0.0,2.0,0.0,0.0,0.0
2017,2017-01-01,AC,Atendimento pré-hospitalar,0.0,0.0,0.0,0.0,0.0
2017,2017-01-01,AC,Busca e salvamento,0.0,0.0,0.0,0.0,0.0
2017,2017-01-01,AC,Combate a incêndios,0.0,0.0,0.0,0.0,0.0
2017,2017-01-01,AC,Emissão de Alvarás de licença,0.0,0.0,0.0,0.0,0.0
2017,2017-01-01,AC,Estupro,0.0,0.0,0.0,0.0,0.0
2017,2017-01-01,AC,Estupro de vulnerável,0.0,0.0,0.0,0.0,0.0
2017,2017-01-01,AC,Feminicídio,1.0,0.0,1.0,0.0,0.0
2017,2017-01-01,AC,Furto de veículo,0.0,0.0,0.0,0.0,0.0
2017,2017-01-01,AC,Homicídio doloso,35.0,0.0,3.0,32.0,0.0
2017,2017-01-01,AC,Lesão corporal seguida de morte,0.0,0.0,0.0,0.0,0.0
2017,2017-01-01,AC,Mandado de prisão cumprido,0.0,0.0,0.0,0.0,0.0
2017,2017-01-01,AC,Morte de Agente do Estado,0.0,0.0,0.0,0.0,0.0
2017,2017-01-01,AC,Morte no trânsito ou em decorrência dele (exceto homicídio doloso),6.0,0.0,4.0,2.0,0.0
2017,2017-01-01,AC,Morte por intervenção de Agente do Estado,7.0,0.0,0.0,7.0,0.0
2017,2017-01-01,AC,Mortes a esclarecer (sem indício de crime),3.0,0.0,0.0,3.0,0.0
2017,2017-01-01,AC,Mortes no trânsito,1.0,0.0,1.0,0.0,0.0
2017,2017-01-01,AC,Pessoa Desaparecida,0.0,0.0,0.0,0.0,0.0
2017,2017-01-01,AC,Pessoa Localizada,0.0,0.0,0.0,0.0,0.0
2017,2017-01-01,AC,Realização de vistorias,0.0,0.0,0.0,0.0,0.0
2017,2017-01-01,AC,Roubo a instituição financeira,0.0,0.0,0.0,0.0,0.0
2017,2017-01-01,AC,Roubo de carga,0.0,0.0,0.0,0.0,0.0
2017,2017-01-01,AC,Roubo de veículo,0.0,0.0,0.0,0.0,0.0
2017,2017-01-01,AC,Roubo seguido de morte (latrocínio),1.0,0.0,0.0,1.0,0.0
2017,2017-01-01,AC,Suicídio,2.0,0.0,2.0,0.0,0.0
2017,2017-01-01,AC,Suicídio de Agente do Estado,0.0,0.0,0.0,0.0,0.0
2017,2017-01-01,AC,Tentativa de feminicídio,0.0,0.0,0.0,0.0,0.0
2017,2017-01-01,AC,Tentativa de homicídio,0.0,0.0,0.0,0.0,0.0
2017,2017-01-01,AC,Tráfico de drogas,0.0,6.0,0.0,0.0,0.0
2017,2017-01-01,AL,Apreensão de Cocaína,0.0,0.0,0.0,0.0,0.0
2017,2017-01-01,AL,Apreensão de Maconha,0.0,0.0,0.0,0.0,0.0
2017,2017-01-01,AL,Arma de Fogo Apreendida,0.0,171.0,0.0,0.0,0.0
2017,2017-01-01,AL,Atendimento pré-hospitalar,0.0,312.0,0.0,0.0,0.0
2017,2017-01-01,AL,Busca e salvamento,0.0,126.0,0.0,0.0,0.0
2017,2017-01-01,AL,Combate a incêndios,0.0,140.0,0.0,0.0,0.0
2017,2017-01-01,AL,Emissão de Alvarás de licença,0.0,440.0,0.0,0.0,0.0
2017,2017-01-01,AL,Estupro,22.0,0.0,21.0,1.0,0.0
2017,2017-01-01,AL,Estupro de vulnerável,66.0,0.0,60.0,6.0,0.0
2017,2017-01-01,AL,Feminicídio,1.0,0.0,1.0,0.0,0.0
2017,2017-01-01,AL,Furto de veículo,0.0,94.0,0.0,0.0,0.0
